Fecha;Hora;Latitud;Longitud;Medicion;Fuerza [KG];Distancia [CM];Distancia total;Fuerza Promedio;Fuerza Maxima;Distancia Fuerza Maxima;
03/10/2020;20:28:13;0;0;0099; ; ; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  11;0000; ; ; ; ;
;; ; ; ; ; ;00;20.95;28.00;00;
03/10/2020;20:28:53;0;0;0100; ; ; ; ; ; ;
;; ; ; ;   9;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ; ; ;00;24.48;35.00;00;
03/10/2020;20:29:06;0;0;0101; ; ; ; ; ; ;
;; ; ; ;   9;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  39;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  39;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  42;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;   4;0000; ; ; ; ;
;; ; ; ; ; ;00;29.26;45.00;00;
03/10/2020;20:29:24;0;0;0102; ; ; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;   3;0000; ; ; ; ;
;; ; ; ; ; ;00;22.95;37.00;00;
03/10/2020;20:29:51;0;0;0103; ; ; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;   4;0000; ; ; ; ;
;; ; ; ; ; ;00;17.17;25.00;00;
03/10/2020;20:30:09;0;0;0104; ; ; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ; ; ;00;29.54;44.00;00;
03/10/2020;20:30:35;0;0;0105; ; ; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  51;0000; ; ; ; ;
;; ; ; ;  53;0000; ; ; ; ;
;; ; ; ;  51;0000; ; ; ; ;
;; ; ; ;  50;0000; ; ; ; ;
;; ; ; ;  51;0000; ; ; ; ;
;; ; ; ;  50;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  51;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ; ; ;00;38.71;53.00;00;
03/10/2020;20:30:54;0;0;0106; ; ; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  16;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  50;0000; ; ; ; ;
;; ; ; ;  52;0000; ; ; ; ;
;; ; ; ;  52;0000; ; ; ; ;
;; ; ; ;  53;0000; ; ; ; ;
;; ; ; ;  52;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ; ; ;00;37.80;53.00;00;
03/10/2020;20:31:26;0;0;0107; ; ; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  23;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;   3;0000; ; ; ; ;
;; ; ; ; ; ;00;23.19;37.00;00;
03/10/2020;20:31:58;0;0;0108; ; ; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;   3;0000; ; ; ; ;
;; ; ; ; ; ;00;25.88;37.00;00;
03/10/2020;20:32:15;0;0;0109; ; ; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  24;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  42;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;   3;0000; ; ; ; ;
;; ; ; ; ; ;00;30.60;46.00;00;
